iter	RMSE
0	1.561285285
1	1.431049025
2	1.311236532
3	1.208216536
4	1.116195715
5	1.03248696
6	0.9593678655
7	0.8955816365
8	0.8390749658
9	0.7894202382
10	0.7467266934
11	0.7095359369
12	0.6772787162
13	0.6493769071
14	0.6266910166
15	0.6062346128
16	0.5897627614
17	0.5756565275
18	0.5636496701
19	0.5539033598
20	0.5450812494
21	0.537743476
22	0.531982799
23	0.52696999
24	0.5229125448
25	0.5193979917
26	0.5164424731
27	0.5141678033
28	0.5120797724
29	0.5104178664
30	0.508837559
31	0.5075398025
32	0.5064033678
33	0.5053007619
34	0.5044079363
35	0.5037288269
36	0.5032194529
37	0.5026687579
38	0.5020836052
39	0.5015344354
40	0.5010793854
41	0.5006536338
42	0.5002924105
43	0.4999647497
44	0.4995817785
45	0.4992516975
46	0.4987990334
47	0.4985314875
48	0.4982566158
49	0.4979678194
50	0.4977264434
51	0.4974921551
52	0.4972616471
53	0.4970485519
54	0.4968379148
55	0.4966457833
56	0.496480502
57	0.4962372455
58	0.4960443468
59	0.4959167501
60	0.4956547966
61	0.4954906063
62	0.4951520797
63	0.495004635
64	0.4948588857
65	0.4945871691
66	0.4943050636
67	0.4940748004
68	0.4938675297
69	0.4936772796
70	0.4934841494
71	0.493215199
72	0.4930364236
73	0.4927311902
74	0.4925596507
75	0.4924160129
76	0.4920562997
77	0.4918768255
78	0.4917692749
79	0.4915779676
80	0.4914011085
81	0.4911637454
82	0.4909973867
83	0.4908200371
84	0.4906272772
85	0.4904667627
86	0.4903132068
87	0.490196331
88	0.4899842026
89	0.4897849756
90	0.4895522028
91	0.4893188651
92	0.4891906582
93	0.4890327308
94	0.4888824428
95	0.4885953746
96	0.4884008284
97	0.4882143138
98	0.4880264786
99	0.4878022396
100	0.4876296731
101	0.4873768248
102	0.4871773298
103	0.486965422
104	0.4867428889
105	0.4865674833
106	0.4863822637
107	0.4862191421
108	0.4860874023
109	0.485948873
110	0.4857673677
111	0.4855976813
112	0.4854233809
113	0.485229053
114	0.4849968927
115	0.4847997952
116	0.4846306833
117	0.4844959011
118	0.4842485724
119	0.4841175171
120	0.4839816381
121	0.4837509514
122	0.4835738631
123	0.4834501437
124	0.4832945616
125	0.4831238617
126	0.4830009666
127	0.4828184297
128	0.4826444202
129	0.4825015877
130	0.4823928307
131	0.4821904052
132	0.4819962907
133	0.481868299
134	0.4817011981
135	0.481512523
136	0.4813362496
137	0.4812029206
138	0.4809453166
139	0.4808021028
140	0.4806473925
141	0.4804284313
142	0.4802584997
143	0.4801468501
144	0.4800027751
145	0.4798375038
146	0.4797219105
147	0.4795721511
148	0.4794501346
149	0.4792046683
150	0.4790937146
151	0.4789038156
152	0.4787434778
153	0.4785295677
154	0.4784297849
155	0.4782568325
156	0.4780995717
157	0.4778995194
158	0.4776916182
159	0.4776030771
160	0.4774215564
161	0.4772920073
162	0.4770329111
163	0.476884686
164	0.4767584913
165	0.4766429893
166	0.4765140749
167	0.4763438316
168	0.4762065233
169	0.4760116862
170	0.4758776426
171	0.4757379621
172	0.4755569417
173	0.4753303253
174	0.4751682672
175	0.4750156397
176	0.4748216174
177	0.474730469
178	0.4745953366
179	0.4744392599
180	0.4743300948
181	0.4741322978
182	0.4739630282
183	0.473849556
184	0.4737342186
185	0.4734885849
186	0.473365403
187	0.4732343007
188	0.4731208403
189	0.4729169848
190	0.4728075521
191	0.472657336
192	0.47249934
193	0.4722937889
194	0.4721706959
195	0.4720088615
196	0.4718975455
197	0.4717344225
198	0.4716086218
199	0.4715109707
