iter	Passed	Remaining
0	3	684
1	6	615
2	8	562
3	11	549
4	13	537
5	16	523
6	18	514
7	21	507
8	23	498
9	25	492
10	28	490
11	31	486
12	33	483
13	36	482
14	38	477
15	41	472
16	43	469
17	46	466
18	48	463
19	51	461
20	53	458
21	56	454
22	58	451
23	61	448
24	63	446
25	66	443
26	69	442
27	71	438
28	73	435
29	77	436
30	79	433
31	81	429
32	84	427
33	86	424
34	89	420
35	91	417
36	93	413
37	96	410
38	98	407
39	101	405
40	103	402
41	106	399
42	108	395
43	110	392
44	113	389
45	115	386
46	118	386
47	120	382
48	122	378
49	125	375
50	127	372
51	129	368
52	131	365
53	134	362
54	136	359
55	138	356
56	141	353
57	143	351
58	145	348
59	148	345
60	150	343
61	153	340
62	155	338
63	157	335
64	160	332
65	162	330
66	165	327
67	167	325
68	169	322
69	172	319
70	174	317
71	176	314
72	179	311
73	181	309
74	184	306
75	186	304
76	189	302
77	191	299
78	193	296
79	196	294
80	198	291
81	201	289
82	203	286
83	205	284
84	208	281
85	210	279
86	213	276
87	215	274
88	217	271
89	219	268
90	221	265
91	224	263
92	226	260
93	228	258
94	231	255
95	233	253
96	236	250
97	238	248
98	240	245
99	243	243
100	245	240
101	247	238
102	250	235
103	252	233
104	255	230
105	257	228
106	259	225
107	262	223
108	264	220
109	266	218
110	269	215
111	271	213
112	273	210
113	276	208
114	278	205
115	280	203
116	283	200
117	285	198
118	287	195
119	290	193
120	292	191
121	295	188
122	297	186
123	300	183
124	302	181
125	304	179
126	307	176
127	309	174
128	311	171
129	314	169
130	316	166
131	319	164
132	322	162
133	324	159
134	327	157
135	329	155
136	332	152
137	334	150
138	337	147
139	339	145
140	341	143
141	344	140
142	346	138
143	349	135
144	351	133
145	353	130
146	356	128
147	358	126
148	361	123
149	363	121
150	366	118
151	368	116
152	370	113
153	373	111
154	375	108
155	377	106
156	380	104
157	382	101
158	384	99
159	387	96
160	390	94
161	392	92
162	395	89
163	397	87
164	400	84
165	403	82
166	405	80
167	408	77
168	411	75
169	414	73
170	416	70
171	419	68
172	422	65
173	425	63
174	428	61
175	431	58
176	434	56
177	437	54
178	439	51
179	442	49
180	445	46
181	447	44
182	450	41
183	453	39
184	455	36
185	458	34
186	461	32
187	463	29
188	466	27
189	468	24
190	471	22
191	473	19
192	476	17
193	478	14
194	480	12
195	483	9
196	485	7
197	487	4
198	490	2
199	492	0
